Seq id,X,Y,Direction,Magnitude
gi|53724230|ref|YP,-0.899571711787,-1.91578133652,-115.152809169,2.11647050393
gi|76818419|ref|YP,1.42487971002,4.44319313399,72.2195660519,4.66607409006
gi|91779473|ref|YP,-2.47468931744,2.18970076041,138.496356016,3.3043723516
gi|72384061|ref|YP,3.47601872403,1.84753523862,27.9910464915,3.93650766896
gi|91780612|ref|YP,-4.67892838746,-5.2974480088,-131.45229284,7.06790819556
gi|67545610|ref|ZP,3.01342955295,2.93475077678,44.2421717769,4.20636657846
gi|44449770|gb|EAJ,-3.62404901927,5.44794495289,123.632405251,6.54322821731
gi|78059785|ref|YP,3.66260569296,6.09001680106,58.9768181448,7.10654522952
gi|78063325|ref|YP,-0.762457451788,2.09874010602,109.965725612,2.23294679704
gi|91777609|ref|YP,0.533225845228,0.894993980143,59.2140607823,1.04179845772
gi|91778973|ref|YP,3.51931580107,5.2500293535,56.1643880604,6.32047402654
gi|94308974|ref|YP,13.8229631499,3.70250799294,14.9948029042,14.3102367445
gi|113866432|ref|Y,3.70168430958,5.62123262994,56.6343665163,6.73058117904
gi|76818793|ref|YP,8.32889781316,-2.29964139019,-15.4350379677,8.64053755883
gi|91778983|ref|YP,2.37734751126,-0.427402177566,-10.1918254497,2.41546140741
gi|116694094|ref|Y,-2.79215833322,2.9701072852,133.231167169,4.07647954041
gi|91777390|ref|YP,1.07070735345,-1.95699809268,-61.3161715078,2.23075228824
gi|76812053|ref|YP,3.8763710941,3.73106208778,43.905730712,5.38024880112
gi|91782926|ref|YP,1.96732444206,4.79469565587,67.6910352615,5.18261245828
gi|78065583|ref|YP,7.47313975162,7.91323334346,46.6383739154,10.8842583438
gi|91780990|ref|YP,7.13036974504,2.05317932836,16.0636761797,7.42008881722
gi|91780405|ref|YP,-2.38470024278,-0.155922499169,-176.25906745,2.3897922658
gi|78062572|ref|YP,7.61492701411,-2.28246426712,-16.6853419443,7.9496387692
gi|44351397|gb|EAI,3.29549133955,-0.330752679952,-5.73131019418,3.31204778111
gi|67547344|ref|ZP,3.38748047556,0.472190131751,7.93548207315,3.42023208172
gi|83747897|ref|ZP,2.56034054464,0.832089381409,18.0037305755,2.69215832431
gi|94310581|ref|YP,1.90056717317,-1.37088848966,-35.8030977821,2.34339301672
gi|73538318|ref|YP,11.0895476117,-0.858146891155,-4.42492381672,11.122701215
gi|44449715|gb|EAJ,-4.4756586028,4.36275300643,135.731880636,6.25021069436
gi|53717268|ref|YP,6.37352129357,4.96218945641,37.9030141076,8.07744377145
gi|78061268|ref|YP,-3.03208078439,-1.23920096573,-157.770334671,3.275535516
gi|78066419|ref|YP,0.179839695595,1.81790387981,84.3502855261,1.82677771837
gi|91782371|ref|YP,-1.26539087747,1.35806673083,132.976819556,1.85622178582
gi|115361062|ref|Y,5.08561748229,8.46380078264,58.9997368632,9.87417990844
gi|78062529|ref|YP,-2.75672077744,4.94690966254,119.129227281,5.66316383783
gi|115359514|ref|Y,2.24715012724,5.44972480112,67.5915919632,5.89484385733
gi|48428756|gb|AAT,2.79246229192,1.11442372444,21.7560929401,3.0066236694
gi|91783169|ref|YP,-3.06026704243,3.43405770301,131.705889267,4.59978115551
gi|44242799|gb|EAH,1.07194521117,4.10244319447,75.3563409839,4.24017767311
gi|44624460|gb|EAK,-6.61774174904,4.57076765753,145.367787046,8.04278700675
gi|44624179|gb|EAK,1.6640237477,6.3626683666,75.3437440423,6.57666509534
gi|78059852|ref|YP,3.5497629647,1.3474224259,20.7858082332,3.79688876573
gi|78063328|ref|YP,-3.28269408433,-3.51201975541,-133.066966798,4.80732391395
gi|94313913|ref|YP,-0.183542910265,-0.985492773588,-100.550164658,1.00243902892
gi|91780900|ref|YP,8.21420451978,4.30911711371,27.681204979,9.27586363593
gi|91777997|ref|YP,5.18435206675,-2.85764264135,-28.8637893835,5.91976585835
gi|53721182|ref|YP,15.4459156799,7.01038536502,24.4117116306,16.9623646393
gi|116696083|ref|Y,4.08068828268,-1.07984891276,-14.8221068141,4.22114801148
gi|73538625|ref|YP,12.8850388021,1.07177655628,4.75491252659,12.9295371115
gi|56130768|ref|YP,4.06146834624,2.72846018402,33.8928728473,4.89285398344
gi|91780008|ref|YP,-0.780390850471,-0.655077592149,-139.989148059,1.01888985236
gi|78065844|ref|YP,-8.39490154205,-3.47804254886,-157.495569947,9.08686699982
gi|91780871|ref|YP,0.895938487865,1.44879464345,58.2672423804,1.7034411328
gi|67544676|ref|ZP,2.34636033537,5.6249789958,67.3574073435,6.09473506615
gi|84361064|ref|ZP,12.6733789706,19.920063851,57.5350016411,23.6098174148
gi|115358124|ref|Y,3.83563289069,2.19013426205,29.7262304207,4.4168730747
gi|76818078|ref|YP,-0.633153542114,0.480962776354,142.778586042,0.795115463394
gi|94314037|ref|YP,8.59351162705,2.72373135982,17.5861199983,9.0148297047
gi|83717059|ref|YP,-2.07656695864,2.31861823307,131.847795798,3.11257463275
gi|115358908|ref|Y,-2.8814745345,2.84411389278,135.373861436,4.04868859361
gi|91778181|ref|YP,8.72022352882,4.37795087037,26.658743168,9.75749723115
gi|84358096|ref|ZP,-1.93332821567,1.28162925727,146.459067143,2.31955416893
gi|115358020|ref|Y,-2.748483715,-0.83389053562,-163.122191646,2.87220057743
gi|91781826|ref|YP,2.67983747265,2.81788379882,46.4383796124,3.88870132351
gi|94313157|ref|YP,8.23098623712,-6.12409516349,-36.6503291161,10.2593214204
gi|44384217|gb|EAI,2.08243263297,4.85901796646,66.8014457314,5.28645261676
gi|73538002|ref|YP,5.93118972084,-0.701818966708,-6.74825092483,5.97256740159
gi|78063997|ref|YP,3.03673772925,4.13521286359,53.7079033023,5.13047380496
gi|78063961|ref|YP,2.86220987408,0.727942421612,14.2694374614,2.95332787419
gi|91780079|ref|YP,2.03660303791,-10.3670873598,-78.8858373069,10.5652379178
gi|44299836|gb|EAI,2.98047883025,0.451524047353,8.61445197337,3.01448636137
gi|44590827|gb|EAK,3.94114776993,8.38677432084,64.8300352887,9.2666406671
gi|73538696|ref|YP,1.66941767014,-2.03958212512,-50.6993431991,2.63568788032
gi|53717175|ref|YP,1.53077746959,5.30019772872,73.890480658,5.51682659007
gi|44510609|gb|EAJ,7.06995913061,1.75019405918,13.904246239,7.28337156496
gi|83716488|ref|YP,6.5604040122,4.00096484819,31.3775792401,7.68417988595
gi|73542674|ref|YP,1.58367179386,5.37873947898,73.5938960262,5.60703618086
gi|44658337|gb|EAK,7.05491589491,10.6515676604,56.4820606344,12.7760608917
gi|84359910|ref|ZP,3.06918210134,8.20112392641,69.4821805082,8.75661535227
gi|73542781|ref|YP,7.86014615809,-0.135840634448,-0.990098676518,7.86131988311
gi|83749034|ref|ZP,0.768765503057,1.15291952478,56.30468648,1.38572141114
gi|17548881|ref|NP,11.7016346055,8.16912753773,34.9196056869,14.2710510184
gi|67545428|ref|ZP,-1.95488571985,3.63543480943,118.268293904,4.12770692168
gi|72384041|ref|YP,-0.472995510249,-7.75152857716,-93.4918385003,7.76594617772
gi|67543846|ref|ZP,-0.194832273091,4.92374860141,92.2660064594,4.92760184111
gi|116696387|ref|Y,3.8503034996,-3.71038888142,-43.9398322534,5.34713219309
gi|44643218|gb|EAK,-2.86342354843,1.8131966309,147.656911757,3.38922947586
gi|107026730|ref|Y,1.98516863107,2.04515486818,45.852711813,2.85018471833
gi|91781234|ref|YP,4.99927985638,0.876680901,9.94633774119,5.07556582901
gi|83749408|ref|ZP,13.6466653171,3.72428114859,15.2647446099,14.1457323724
template_1E54,1.66168478996,1.50661434449,42.1979295129,2.24300760681
gi|53721783|ref|YP,0.114510348986,-1.6132919106,-85.9399940731,1.61735073773
gi|91780934|ref|YP,-1.17999989086,-3.93383896582,-106.697215838,4.10700483947
gi|94312716|ref|YP,2.21869840169,3.41866779338,57.0166295093,4.07552598804
gi|44418911|gb|EAJ,2.78218459236,7.17460920655,68.804601843,7.6951652596
gi|44599042|gb|EAK,-5.71091097134,-1.3445579333,-166.751740469,5.86705549305
gi|53720170|ref|YP,2.52542489956,6.80995292006,69.653042394,7.26314186125
