1a0s,3.90160018166,1.87417178428
1uyn,2.2981897038,2.14531254304
2qdz,3.95301369011,1.83289222626
2f1v,2.15193942688,2.47131806631
1qj8,2.14539383611,2.0585278115
3efm,4.94043491211,1.6968951742
3emn,3.55079293369,2.22857359978
1thq,1.74637743211,1.92137202599
2wjr,3.1714576296,1.98990998876
3bs0,3.59240994215,1.56798813416
1qd6,2.19451416788,2.05630786863
1e54,3.04675836935,2.42178647599
1tly,2.45651541603,2.29841789695
1i78,2.92922514767,1.55339586354
3jty,4.58594731254,1.81742214269
1t16,3.48747022811,2.1557615037
3csl,4.19701910529,1.34970101136
1qjp,2.40983966313,1.34711693373
1fep,4.17762195344,1.58288769048
2vqi,5.73033190682,1.21844174511
2guf,3.56633518348,1.96253907102
1qfg,3.80112411745,1.5551484295
1kmo,3.40903085491,2.45116299741
2j1n,3.57714199654,2.41155219134
1p4t,2.6174760271,2.59007445843
2o4v,3.54545980419,2.37544073282
2erv,1.94894570064,1.46358496706
1k24,2.99486992263,0.711535876867
