3FHH,23.944786447
2VQI,18.9982498162
2GUF,11.6577232513
3CSL,10.6521910817
2QDZ,10.5199694757
2O4V,9.70068795165
1FEP,9.27494395403
1KMO,8.07538578646
2J1N,7.93133508783
3EFM,7.37929127409
2POR,7.02910820934
1QJP,7.02827895371
1QFG,6.76353461042
3DWO,6.60507113244
1QD6,5.67807168957
1UYN,5.21403356461
1QJ8,5.00081687833
1AF6,4.99672463298
3BS0,4.9148359379
3JTY,4.88657394837
1A0S,4.40078370344
3EMN,3.96637325159
1K24,3.57943054124
1P4T,3.34373112564
1T16,2.62706420781
3DZM,2.59273365644
2WJR,2.18221769391
3PRN,2.17325666105
2F1V,2.14644883849
2F1C,1.87791144271
1E54,1.72850465021
1THQ,1.60333739908
2ERV,1.46352660631
1TLY,1.40165260214
1I78,1.01683203207
